timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-05-29T18:53:12-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,13.12MiB / 30MiB,43.72%,7.2MB / 7.75MB,0B / 12.3kB,15
2026-05-29T18:53:16-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,1.87%,63.16MiB / 160MiB,39.48%,2.53MB / 1.02MB,643kB / 0B,71
2026-05-29T18:53:16-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.28%,62MiB / 160MiB,38.75%,2.54MB / 1.04MB,868kB / 0B,64
2026-05-29T18:53:16-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,13.1MiB / 30MiB,43.67%,7.2MB / 7.75MB,0B / 12.3kB,15
2026-05-29T18:53:20-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.07%,63.01MiB / 160MiB,39.38%,2.53MB / 1.02MB,643kB / 0B,71
2026-05-29T18:53:20-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,1.32%,61.8MiB / 160MiB,38.62%,2.54MB / 1.04MB,868kB / 0B,64
2026-05-29T18:53:20-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,13.09MiB / 30MiB,43.62%,7.2MB / 7.75MB,0B / 12.3kB,15
2026-05-29T18:53:24-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.10%,63.05MiB / 160MiB,39.41%,2.53MB / 1.02MB,643kB / 0B,71
2026-05-29T18:53:24-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.19%,61.75MiB / 160MiB,38.59%,2.54MB / 1.04MB,868kB / 0B,64
2026-05-29T18:53:24-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.07%,13.32MiB / 30MiB,44.39%,7.2MB / 7.75MB,0B / 12.3kB,15
2026-05-29T18:53:28-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.73%,63MiB / 160MiB,39.38%,2.53MB / 1.02MB,643kB / 0B,71
2026-05-29T18:53:28-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.58%,61.75MiB / 160MiB,38.60%,2.54MB / 1.04MB,868kB / 0B,64
2026-05-29T18:53:28-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,13.05MiB / 30MiB,43.52%,7.2MB / 7.75MB,0B / 12.3kB,15
2026-05-29T18:53:32-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.10%,63.16MiB / 160MiB,39.48%,2.54MB / 1.02MB,643kB / 0B,71
2026-05-29T18:53:32-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.09%,61.74MiB / 160MiB,38.59%,2.54MB / 1.04MB,868kB / 0B,64
2026-05-29T18:53:32-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,13.49MiB / 30MiB,44.97%,7.21MB / 7.75MB,0B / 12.3kB,15
2026-05-29T18:53:36-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,1.99%,62.63MiB / 160MiB,39.15%,2.54MB / 1.02MB,643kB / 0B,71
2026-05-29T18:53:36-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.80%,61.75MiB / 160MiB,38.59%,2.54MB / 1.04MB,868kB / 0B,64
2026-05-29T18:53:36-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.23%,13.57MiB / 30MiB,45.23%,7.21MB / 7.75MB,0B / 12.3kB,15
2026-05-29T18:53:40-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.08%,62.54MiB / 160MiB,39.08%,2.54MB / 1.02MB,643kB / 0B,71
2026-05-29T18:53:40-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,3.21%,61.74MiB / 160MiB,38.59%,2.54MB / 1.05MB,868kB / 0B,64
2026-05-29T18:53:40-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.12%,13.22MiB / 30MiB,44.08%,7.22MB / 7.75MB,0B / 12.3kB,15
2026-05-29T18:53:44-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,1.26%,62.57MiB / 160MiB,39.11%,2.54MB / 1.03MB,643kB / 0B,71
2026-05-29T18:53:44-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.14%,61.64MiB / 160MiB,38.53%,2.54MB / 1.05MB,868kB / 0B,63
2026-05-29T18:53:44-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.58MiB / 30MiB,41.93%,7.22MB / 7.76MB,0B / 12.3kB,15
2026-05-29T18:53:48-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,4.06%,61.17MiB / 160MiB,38.23%,2.54MB / 1.03MB,643kB / 0B,71
2026-05-29T18:53:48-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.11%,61.66MiB / 160MiB,38.54%,2.54MB / 1.05MB,868kB / 0B,63
2026-05-29T18:53:48-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.23%,12.86MiB / 30MiB,42.85%,7.23MB / 7.76MB,0B / 12.3kB,15
2026-05-29T18:53:52-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,1.65%,60.96MiB / 160MiB,38.10%,2.55MB / 1.04MB,643kB / 0B,70
2026-05-29T18:53:52-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.14%,61.64MiB / 160MiB,38.53%,2.54MB / 1.05MB,868kB / 0B,63
2026-05-29T18:53:52-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.14MiB / 30MiB,40.47%,7.23MB / 7.76MB,0B / 12.3kB,15
2026-05-29T18:53:56-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.09%,60.84MiB / 160MiB,38.02%,2.55MB / 1.04MB,643kB / 0B,70
2026-05-29T18:53:56-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.85%,60.44MiB / 160MiB,37.78%,2.54MB / 1.05MB,868kB / 0B,15
2026-05-29T18:53:56-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.12MiB / 30MiB,40.42%,7.23MB / 7.76MB,0B / 12.3kB,15
2026-05-29T18:54:00-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.10%,60.84MiB / 160MiB,38.02%,2.55MB / 1.04MB,643kB / 0B,70
2026-05-29T18:54:00-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,1.76%,60.33MiB / 160MiB,37.71%,2.54MB / 1.05MB,868kB / 0B,15
2026-05-29T18:54:00-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.12MiB / 30MiB,40.42%,7.23MB / 7.76MB,0B / 12.3kB,15
2026-05-29T18:54:04-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.09%,60.85MiB / 160MiB,38.03%,2.55MB / 1.04MB,643kB / 0B,70
2026-05-29T18:54:04-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.10%,59.88MiB / 160MiB,37.43%,2.54MB / 1.05MB,868kB / 0B,15
2026-05-29T18:54:04-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.12MiB / 30MiB,40.42%,7.23MB / 7.76MB,0B / 12.3kB,15
2026-05-29T18:54:08-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.09%,60.89MiB / 160MiB,38.06%,2.55MB / 1.04MB,643kB / 0B,70
